"latitud","longitud","sucursal","dias sin gestion","aceptacion","monto adeudado","saldo total","porcentaje pagado","ejecutivo"
"20.642178","-89.415608","ACANCEH","12","SI"," $674,37 "," $674,37 ","98.06","JRPUCH"
"20.743158","-89.47474","ACANCEH","16","NO"," $1.529,02 "," $1.529,02 ","95.55","JRPUCH"
"20.715016","-89.49471","ACANCEH","12","SI"," $25.445,85 "," $25.445,85 ","56.48","JRPUCH"
"20.809952","-89.511841","ACANCEH","47","NO"," $8.928,59 "," $8.928,59 ","73.11","JRPUCH"
"20.815403","-89.562888","ACANCEH","80","NO"," $15.816,01 "," $15.816,01 ","62.48","JRPUCH"
"20.811254","-89.449623","ACANCEH","41","NO"," $1.186,96 "," $1.186,96 ","95.33","JRPUCH"
"20.751622","-89.472011","ACANCEH","24","NO"," $23.092,56 "," $23.092,56 ","50.66","JRPUCH"
"20.886173","-89.439134","ACANCEH","27","NO"," $25.785,12 "," $25.785,12 ","47.44","LACAPU"
"20.845548","-89.374631","ACANCEH","32","NO"," $20.658,05 "," $20.658,05 ","47.04","LACAPU"
"20.717082","-89.15578","ACANCEH","41","NO"," $31.926,65 "," $31.926,65 ","41.39","AMQUCH"
"20.836723","-89.378858","ACANCEH","13","SI"," $33.260,44 "," $33.260,44 ","37.54","LACAPU"
"20.806248","-89.454524","ACANCEH","19","NO"," $9.654,89 "," $9.654,89 ","64.45","LACAPU"
"20.848063","-89.37975","ACANCEH","27","NO"," $13.392,68 "," $13.392,68 ","59.25","LACAPU"
"20.751058","-89.475819","ACANCEH","12","SI"," $24.998,40 "," $24.998,40 ","39.65","JRPUCH"
"20.819195","-89.455562","ACANCEH","32","NO"," $8.895,45 "," $8.895,45 ","59","LACAPU"
"20.73832","-89.32068","ACANCEH","19","NO"," $10.170,88 "," $10.170,88 ","59.18","AMQUCH"
"20.801954","-89.449203","ACANCEH","28","NO"," $9.556,88 "," $9.556,88 ","54.84","LACAPU"
"20.696002","-89.393841","ACANCEH","40","NO"," $12.555,53 "," $12.555,53 ","52.69","JRPUCH"
"20.742456","-89.46945","ACANCEH","12","SI"," $17.407,61 "," $17.407,61 ","52.8","JRPUCH"
"20.640654","-89.41538","ACANCEH","47","NO"," $14.456,92 "," $14.456,92 ","46.53","JRPUCH"
"20.735156","-89.284109","ACANCEH","17","NO"," $14.433,38 "," $14.433,38 ","46.67","AMQUCH"
"20.811924","-89.515584","ACANCEH","20","NO"," $15.320,88 "," $15.320,88 ","47.22","JRPUCH"
"20.833432","-89.370226","ACANCEH","335","NO"," $30.728,38 "," $30.728,38 ","23.79","LACAPU"
"20.743601","-89.46665","ACANCEH","24","NO"," $38.649,93 "," $38.649,93 ","26.56","JRPUCH"
"20.745546","-89.475761","ACANCEH","41","NO"," $12.539,59 "," $12.539,59 ","46.12","JRPUCH"
"20.839964","-89.375241","ACANCEH","30","NO"," $31.082,56 "," $31.082,56 ","26.04","LACAPU"
"20.745569","-89.475775","ACANCEH","41","NO"," $12.076,17 "," $12.076,17 ","42.55","JRPUCH"
"20.810249","-89.455537","ACANCEH","32","NO"," $7.003,96 "," $7.003,96 ","56.27","LACAPU"
"20.742064","-89.470955","ACANCEH","12","SI"," $11.342,24 "," $11.342,24 ","45.07","JRPUCH"
"20.845517","-89.374618","ACANCEH","44","NO"," $31.056,21 "," $31.056,21 ","18.5","LACAPU"
"20.746531","-89.471023","ACANCEH","16","NO"," $44.395,96 "," $44.395,96 ","17.97","JRPUCH"
"20.814342","-89.447462","ACANCEH","16","NO"," $34.321,29 "," $34.321,29 ","15.42","LACAPU"
"20.839702","-89.376905","ACANCEH","13","SI"," $2.932,95 "," $2.932,95 ","72.39","LACAPU"
"20.891317","-89.441003","ACANCEH","45","NO"," $30.388,92 "," $30.388,92 ","17.61","LACAPU"
"20.845118","-89.376695","ACANCEH","13","SI"," $41.999,37 "," $41.999,37 ","19.5","LACAPU"
"20.81085","-89.45343","ACANCEH","19","NO"," $16.205,48 "," $16.205,48 ","25.57","AMQUCH"
"20.747702","-89.474196","ACANCEH","41","NO"," $7.604,64 "," $7.604,64 ","39.95","JRPUCH"
"20.841027","-89.374601","ACANCEH","192","NO"," $28.480,85 "," $28.480,85 ","23.35","LACAPU"
"20.834893","-89.369692","ACANCEH","Sin Gestion","NO"," $11.155,71 "," $11.155,71 ","27.75","LACAPU"
"20.811758","-89.444168","ACANCEH","18","NO"," $17.640,88 "," $17.640,88 ","17.89","LACAPU"
"20.815413","-89.562802","ACANCEH","69","NO"," $35.539,53 "," $35.539,53 ","16.24","JRPUCH"
"20.806534","-89.453156","ACANCEH","12","SI"," $5.535,22 "," $5.535,22 ","59.54","JRPUCH"
"20.835455","-89.371456","ACANCEH","64","NO"," $20.606,59 "," $20.606,59 ","22.62","LACAPU"
"20.810256","-89.45554","ACANCEH","40","NO"," $9.185,98 "," $9.185,98 ","22.98","LACAPU"
"20.820035","-89.463627","ACANCEH","38","NO"," $20.002,86 "," $20.002,86 ","17.84","LACAPU"
"20.84535","-89.378627","ACANCEH","25","NO"," $29.231,43 "," $29.231,43 ","9.85","LACAPU"
"20.806227","-89.511384","ACANCEH","19","NO"," $7.335,31 "," $7.335,31 ","30.37","ARMEPU"
"20.813833","-89.461632","ACANCEH","23","NO"," $10.758,92 "," $10.758,92 ","18.72","AMQUCH"
"20.843903","-89.375524","ACANCEH","13","SI"," $12.506,26 "," $12.506,26 ","22.84","LACAPU"
"21.165327","-86.929999","CANCÚN","95","NO"," $2.762,83 "," $2.762,83 ","89.62","MANOAR"
"21.136583","-86.917541","CANCÚN","13","SI"," $49.435,83 "," $49.435,83 ","43.21","MANOAR"
"21.188366","-86.85469","CANCÚN","30","NO"," $10.632,87 "," $10.632,87 ","79.98","ABRUZA"
"21.145681","-86.873202","CANCÚN","26","NO"," $10.785,58 "," $10.785,58 ","80.07","MANOAR"
"21.157072","-86.873366","CANCÚN","40","NO"," $10.202,62 "," $10.202,62 ","81.91","ABRUZA"
"21.153693","-86.901716","CANCÚN","14","NO"," $17.521,42 "," $17.521,42 ","75.8","MJSAFU"
"21.187904","-86.847825","CANCÚN","45","NO"," $33.326,02 "," $33.326,02 ","30.14","JASOCH"
"21.185277","-86.859474","CANCÚN","15","NO"," $18.649,54 "," $18.649,54 ","68.09","ABRUZA"
"21.180858","-86.866629","CANCÚN","18","NO"," $21.808,21 "," $21.808,21 ","59.12","ABRUZA"
"21.211166","-86.843279","CANCÚN","41","NO"," $2.092,22 "," $2.092,22 ","95.8","MJSAFU"
